Period,MPC_Sentiment,MPC_Polarity,MPC_Positive,MPC_Negative,MPC_TotalWords,FSR_Sentiment,FSR_Polarity,FSR_Positive,FSR_Negative,FSR_TotalWords
Jul-10,0.0014101531023368,1.0,40,33,4964,-0.0036942748310778,-1.0,302,495,52243
Oct-10,0.0011294876966518,1.0,63,49,12395,-0.0039153309678208,-1.0,354,578,57211
Jul-11,-0.0024455943857659,-1.0,101,170,28214,-0.0053652409035746,-1.0,216,468,46969
Oct-11,-0.000499251123315,-1.0,58,64,12018,-0.007829640782964,-1.0,152,516,46490
Jul-12,-0.0109714285714285,-1.0,15,63,4375,-0.0085303761362727,-1.0,131,451,37513
Oct-12,-0.0028997867803837,-1.0,51,85,11725,-0.0080506467934498,-1.0,162,485,40121
Jul-13,-0.0059125964010282,-1.0,19,42,3890,-0.0059770834964633,-1.0,124,353,38313
Oct-13,0.000780234070221,1.0,21,18,3845,-0.0079766589041462,-1.0,132,430,37359
Jun-14,0.0,0.0,13,13,1749,-0.0053605687845615,-1.0,132,322,35444
Dec-14,-0.0039198606271777,-1.0,17,26,2296,-0.0039930262639896,-1.0,123,265,35562
Jun-15,-0.0093141405588484,-1.0,15,37,2362,-0.0041503001556362,-1.0,140,308,40479
Dec-15,-0.002488800398208,-1.0,15,20,2009,-0.007502679528403,-1.0,100,401,40119
Jun-16,-0.0004420866489832,-1.0,13,14,2262,-0.0053974373511736,-1.0,135,373,44095
Dec-16,-0.0064555174500706,-1.0,18,50,4957,-0.005057949651724,-1.0,120,295,34599
Jun-17,-0.0024281150159744,-1.0,52,71,7825,-0.0037342295484249,-1.0,131,271,37491
Dec-17,0.000298998355509,1.0,68,66,6689,-0.0047330399402142,-1.0,147,318,36129
Jun-18,0.0008705745792222,1.0,55,49,6892,-0.0061487854251012,-1.0,128,371,39520
Dec-18,-0.0043378412860423,-1.0,48,82,7838,-0.0049631277068945,-1.0,161,373,42715
Jun-19,-0.0076455596941776,-1.0,45,123,10202,-0.0063746706812194,-1.0,143,414,42512
Dec-19,-0.0029239766081871,-1.0,64,92,9576,-0.0064864141943249,-1.0,119,410,44863
Jun-20,-0.0092062422813517,-1.0,48,130,8907,-0.0074469932282522,-1.0,171,557,51833
Dec-20,0.0042203718489791,1.0,118,81,8767,-0.0056775670084943,-1.0,229,487,45442
Jun-21,0.0017402945113788,1.0,69,56,7470,-0.0046023932444871,-1.0,233,463,49974
Dec-21,0.0006885471654808,1.0,90,84,8714,-0.0051879670138216,-1.0,213,481,51658
Jun-22,-0.0018848957024377,-1.0,48,63,7958,-0.00590364088317,-1.0,209,532,54712
Dec-22,-0.0057811062935225,-1.0,41,85,7611,-0.0049924949422436,-1.0,261,567,61292
Jun-23,0.0012747875354107,1.0,55,46,7060,-0.0056007282489623,-1.0,309,672,64813
Dec-23,0.0001592610288262,0.999999,48,47,6279,-0.0040467558256735,-1.0,278,547,66473
Jun-24,0.0019743336623889,1.0,50,36,7091,-0.0038419319429198,-1.0,254,492,61948
Dec-24,-0.0044146749885827,-1.0,40,69,6569,-0.0049439476004534,-1.0,272,586,63512
Jun-25,0.0014617508526879,1.0,44,35,6157,-0.0042558792558792,-1.0,257,548,68376
