Date,Source,Positive,Negative,Total_Words,Sentiment_Index,Polarity,Layer,URL
Mar-10,FSR,302,495,52243,-0.0036942748310778,-1.0,EXISTING_CSV,
Dec-10,FSR,354,578,57211,-0.0039153309678208,-1.0,EXISTING_CSV,
Jun-11,FSR,216,468,46969,-0.0053652409035746,-1.0,EXISTING_CSV,
Dec-11,FSR,152,516,46490,-0.007829640782964,-1.0,EXISTING_CSV,
Jun-12,FSR,131,451,37513,-0.0085303761362727,-1.0,EXISTING_CSV,
Dec-12,FSR,162,485,40121,-0.0080506467934498,-1.0,EXISTING_CSV,
Jun-13,FSR,124,353,38313,-0.0059770834964633,-1.0,EXISTING_CSV,
Dec-13,FSR,132,430,37359,-0.0079766589041462,-1.0,EXISTING_CSV,
Jun-14,FSR,132,322,35444,-0.0053605687845615,-1.0,EXISTING_CSV,
Dec-14,FSR,123,265,35562,-0.0039930262639896,-1.0,EXISTING_CSV,
Jun-15,FSR,140,308,40479,-0.0041503001556362,-1.0,EXISTING_CSV,
Dec-15,FSR,100,401,40119,-0.007502679528403,-1.0,EXISTING_CSV,
Jun-16,FSR,135,373,44095,-0.0053974373511736,-1.0,EXISTING_CSV,
Dec-16,FSR,120,295,34599,-0.005057949651724,-1.0,EXISTING_CSV,
Jun-17,FSR,131,271,37491,-0.0037342295484249,-1.0,EXISTING_CSV,
Dec-17,FSR,147,318,36129,-0.0047330399402142,-1.0,EXISTING_CSV,
Jun-18,FSR,128,371,39520,-0.0061487854251012,-1.0,EXISTING_CSV,
Dec-18,FSR,161,373,42715,-0.0049631277068945,-1.0,EXISTING_CSV,
Jun-19,FSR,143,414,42512,-0.0063746706812194,-1.0,EXISTING_CSV,
Dec-19,FSR,119,410,44863,-0.0064864141943249,-1.0,EXISTING_CSV,
Jun-20,FSR,171,557,51833,-0.0074469932282522,-1.0,EXISTING_CSV,
Jan-21,FSR,229,487,45442,-0.0056775670084943,-1.0,EXISTING_CSV,
Jun-21,FSR,233,463,49974,-0.0046023932444871,-1.0,EXISTING_CSV,
Dec-21,FSR,213,481,51658,-0.0051879670138216,-1.0,EXISTING_CSV,
Jun-22,FSR,209,532,54712,-0.00590364088317,-1.0,EXISTING_CSV,
Dec-22,FSR,261,567,61292,-0.0049924949422436,-1.0,EXISTING_CSV,
Jun-23,FSR,309,672,64813,-0.0056007282489623,-1.0,EXISTING_CSV,
Dec-23,FSR,278,547,66473,-0.0040467558256735,-1.0,EXISTING_CSV,
Jun-24,FSR,254,492,61948,-0.0038419319429198,-1.0,EXISTING_CSV,
Dec-24,FSR,272,586,63512,-0.0049439476004534,-1.0,EXISTING_CSV,
Jun-25,FSR,257,548,68376,-0.0042558792558792,-1.0,EXISTING_CSV,
